term_str,bing_positive,bing_negative,bing_sentiment,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,syu_sentiment,gi_sentiment,labmt_happiness
aground,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,,
ail,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.5,-1.0,
ailing,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.5,,
ailment,0.0,1.0,-1.0,,,,,,,,,,,,-1.0,-1.0,
aimless,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,-1.0,
alarm,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,3.9
alarmed,0.0,1.0,-1.0,,,,,,,,,,,,-0.75,,
alarming,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.75,-1.0,
alarmingly,0.0,1.0,-1.0,,,,,,,,,,,,-0.6,,
alienate,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,
alienated,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.75,,
alienation,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.75,-1.0,
all-around,1.0,0.0,1.0,,,,,,,,,,,,,,
allegation,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,
allegations,0.0,1.0,-1.0,,,,,,,,,,,,-0.8,,3.84
allege,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,-1.0,
allergic,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,,
allergies,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,,
allergy,0.0,1.0,-1.0,,,,,,,,,,,,-1.0,,
alluring,1.0,0.0,1.0,,,,,,,,,,,,0.5,,
alluringly,1.0,0.0,1.0,,,,,,,,,,,,0.8,,
aloof,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,-1.0,
altercation,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.75,-1.0,
altruistic,1.0,0.0,1.0,,,,,,,,,,,,1.0,1.0,
altruistically,1.0,0.0,1.0,,,,,,,,,,,,1.0,,
amaze,1.0,0.0,1.0,,,,,,,,,,,,0.5,,
amazed,1.0,0.0,1.0,,,,,,,,,,,,0.5,,7.22
amazement,1.0,0.0,1.0,,,,,,,,,,,,0.8,1.0,
amazes,1.0,0.0,1.0,,,,,,,,,,,,0.5,,
amazing,1.0,0.0,1.0,,,,,,,,,,,,0.5,1.0,7.66
amazingly,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,,
ambiguity,0.0,1.0,-1.0,,,,,,,,,,,,,-1.0,
ambiguous,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,-1.0,
ambitious,1.0,0.0,1.0,,,,,,,,,,,,0.5,,6.52
ambitiously,1.0,0.0,1.0,,,,,,,,,,,,0.8,,
ambivalence,0.0,1.0,-1.0,,,,,,,,,,,,-0.25,,
ambivalent,0.0,1.0,-1.0,,,,,,,,,,,,-0.5,-1.0,
ambush,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-0.5,-1.0,
ameliorate,1.0,0.0,1.0,,,,,,,,,,,,0.5,1.0,
amenable,1.0,0.0,1.0,,,,,,,,,,,,0.5,1.0,
amenity,1.0,0.0,1.0,,,,,,,,,,,,0.25,1.0,
amiability,1.0,0.0,1.0,,,,,,,,,,,,1.0,1.0,
amiabily,1.0,0.0,1.0,,,,,,,,,,,,,,
amiable,1.0,0.0,1.0,,,,,,,,,,,,0.5,1.0,
amicability,1.0,0.0,1.0,,,,,,,,,,,,1.0,,
amicable,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,
amicably,1.0,0.0,1.0,,,,,,,,,,,,1.0,,
amiss,0.0,1.0,-1.0,,,,,,,,,,,,-1.0,-1.0,
amity,1.0,0.0,1.0,,,,,,,,,,,,-0.4,,
ample,1.0,0.0,1.0,,,,,,,,,,,,1.0,1.0,
amply,1.0,0.0,1.0,,,,,,,,,,,,1.0,1.0,
amputate,0.0,1.0,-1.0,,,,,,,,,,,,-1.0,-1.0,
amuse,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75,1.0,
amusing,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,,
amusingly,1.0,0.0,1.0,,,,,,,,,,,,0.8,,
anarchism,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,,
anarchist,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,
anarchistic,0.0,1.0,-1.0,,,,,,,,,,,,-0.8,,
